sentence,Governing Law,Termination,Confidentiality,Limitation Of Liability,License Grant,Non-Compete,Assignment,IP Ownership,Payment Terms
"NEITHER PARTY WILL HAVE ANY LIABILITY FOR, AND EACH PARTY HEREBY WAIVES AND DISCLAIMS, ANY AND ALL CLAIMS AND CAUSES OF ACTION AGAINST THE OTHER PARTY, WHETHER IN CONTRACT, TORT (INCLUDING, WITHOUT LIMITATION, NEGLIGENCE AND STRICT LIABILITY), WARRANTY OR OTHERWISE, RELATING TO ANY INDIRECT, CONSEQUENTIAL OR EXEMPLARY DAMAGES, IN EACH CASE, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT (INCLUDING ANY BREACH HEREOF) OR ANY OF THE TRANSACTIONS CONTEMPLATED HEREBY.",0,0,0,1,0,0,0,0,0
"All such photographs shall be deemed Playboy Content for purposes of this Agreement, for which EFS shall have a license to use during the Term solely in connection with the Playboy Commerce Business and as is necessary to promote the Websites.",0,0,0,0,1,0,0,0,0
The PCI DSS may be found at www.pcisecuritystandards.org.,0,0,0,0,0,0,0,0,0
The Alliance Managers shall be permitted to attend any such JGC meetings.,0,0,0,0,0,0,0,0,0
The price the Fund shall receive for all Shares purchased from the Fund shall be the net asset value used in determining the public offering price applicable to the sale of such Shares.,0,0,0,0,0,0,0,0,0
"Notwithstanding the foregoing, Women.com does guarantee a minimum of 13,000,000 impressions promoting eDiets per year on the Diet Center.",0,0,0,0,0,0,0,0,1
"The Consultant agrees to accept exclusive liability for complying with all applicable state and federal laws governing self-employed individuals, including obligations such as payment of taxes, social security, disability and other contributions based on fees paid to the Consultant under this Agreement.",0,0,0,0,0,0,0,0,0
"Duty of Loyalty No Participant will engage in any business, venture or transaction, whether directly or indirectly, that might be competitive with the business of the Joint Venture or that would be in direct conflict of 41.",0,0,0,0,0,1,0,0,0
"Throughout the term of this Agreement, Eutectix and Liquidmetal will work cooperatively and take advantage of cost saving technologies and other cost reduction opportunities to assist in maintaining a competitive cost position.",0,0,0,0,0,0,0,0,0
"For clarification purposes, MediWound's Acceptance Sample Notice in accordance with this section above shall in no event derogate from CBC's responsibilities hereunder.",0,0,0,0,0,0,0,0,0
"In addition and notwithstanding anything to the contrary herein, (a) if the relevant text of a proposed press release has already previously been reviewed and approved for disclosure by the other Party then such text may be disclosed or republished in such proposed press release provided that the Party issuing such press release provides notice to the other Party of such press release at least four (4) business days prior to the issuance of such press release, where practicable, and (b) if the relevant text of a proposed public announcement such as a corporate presentation or comments to analysts or investors has already previously been reviewed and approved for disclosure by the other Party (whether in the form of an approved press release or prior approved presentation materials, Q&A script or the like) then such text may be included in such proposed public announcement (but not a press release) without resubmission and review by the other Party.",0,0,0,0,0,0,0,0,0
27.,0,0,0,0,0,0,0,0,0
The period for obtaining such reports shall be a least annually.,0,0,0,0,0,0,0,0,0
The terms of the Distribution Agreement will apply to all areas not covered by Exhibit B.,0,0,0,0,0,0,0,0,0
All goodwill of the business associated with or symbolized by the Zogenix Trademarks shall inure to the benefit of Zogenix.,0,0,0,0,0,0,0,0,0
1 1.3 Additional Fee.,0,0,0,0,0,0,0,0,0
"As further consideration for the license and grant of Distribution Rights and other rights under this Agreement, EKR shall pay to PPI a royalty (""Royalty"") equal to (a) $[**] for each [**] mg Vial of Product sold during the Term and $[**] for each [**] mg Vial of Product sold during the Term (the ""Minimum Royalty"") plus (b) an additional [**]% of any post Effective Date incremental price increase implemented by EKR over the Current Base Price of $[**] for the [**] mg Vial and $[**] for the [**] mg Vial (the ""Additional Royalty""); provided, however, that Additional Royalty shall not be payable to the extent that the sum of (i) the Minimum Royalty and Additional Royalty payable hereunder and (ii) the Supply Price (as defined in the Supply Agreement) shall at any time during the Term exceed [**] percent ([**]%) of the net average selling price of the Product (the ""Royalty Cap""); provided, however, that the Royalty Cap shall be [**] percent ([**]%) of the net average selling price of the Product during certain periods as described in Section 6.3(e) above.",0,0,0,0,0,0,0,0,1
"Notwithstanding the aforesaid, it is agreed that any manufacturing methods applied by Contractor, which are Contractor's Proprietary Information, may be used by NICE itself (including its Affiliates) (but may not be transferred/disclosed to any third party) and by signing this Agreement Contractor hereby grants NICE a personal, non exclusive, non transferable, perpetual license to use such manufacturing methods.",0,0,0,0,1,0,0,0,0
Section 11.08.,0,0,0,0,0,0,0,0,0
These exceptions may be overridden by express terms in an applicable licensing agreement governing the transferability of Special License Software (Special License Software is the term now used in our templates to refer to ICSG Product) Affiliate: An entity may transfer its right to use a certain piece of Software to its Affiliate.,0,0,0,0,1,0,0,0,0
"This Agreement and any rights or authority granted hereunder shall not be assigned or transferred by either Party, including by operation of law, merger or otherwise, without the express written consent of the other Party, provided that Licensor may assign this Agreement without consent to any of its Affiliates and Licensee may assign this Agreement without consent to SINA Leju or an Affiliate of Licensee that is controlled by SINA Leju.",0,0,0,0,0,0,1,0,0
"If JRVS elects to extend such special pricing, it will issue a confidential meet comp quote number documenting the special price quoted.",0,0,0,0,0,0,0,0,0
"Statutory Particulars 22.1 The Executive is subject to the Company's disciplinary and grievance procedures, copies of which are available upon request (although the Company reserves the right to deviate from these procedures in light of the Executive's seniority).",0,0,0,0,0,0,0,0,0
On sales of products pursuant to this Agreement (less any returns) TL will pay to Integrity royalties in the amount of [**]/1/ ($[**]/1/) for each and every unit of the product sold by it pursuant to this Agreement.,0,0,0,0,0,0,0,0,1
"If Buyer fails to pay Seller an amount owed under this Agreement by the invoice due date, then Buyer will owe Seller: (i) the delinquent amount; and (ii) a late payment fee equal to two percent (2%) of the delinquent amount for each full or partial calendar month past the invoice due date that the delinquent amount remains unpaid.",0,0,0,0,0,0,0,0,0
"Neither this Agreement nor any rights or obligations of a Party may be assigned, delegated or otherwise transferred by such Party without the prior written consent of the other Party; provided, however, that Janssen may, without such consent but with prior written notice to Company, assign, delegate and transfer this Agreement or all or any of its rights and obligations under this Agreement to (a) any Third Party that acquires substantially all Janssen's assets relating to the Product in the Territory or (b) any Affiliate of Janssen.",0,0,0,0,0,0,1,0,0
It is expressly contemplated and understood that Network 1 will utilize other persons and companies to locate Contractors.,0,0,0,0,0,0,0,0,0
17.,0,0,0,0,0,0,0,0,0
"(e) Notwithstanding anything to the contrary herein, AJR and/or Porsche shall be permitted to use photographs of the Cars, transport vehicles and crew uniforms containing XC logos and Licensed Materials for any promotional or marketing purposes during and forever after the term of this Agreement.",0,0,0,0,0,0,0,0,0
SERVICES TO BE PROVIDED TO THE JOINT VENTURE BY THE PARTIES.,0,0,0,0,0,0,0,0,0
EKR shall be entitled to offset certain amounts from Royalties payable hereunder as set forth in Section 6.3(b) above.,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0
"SUCCESSORS AND ASSIGNS Except as provided in this Section, neither Party may assign its rights or obligations under this Agreement without the prior written consent of the other Party, which shall not be unreasonably withheld.",0,0,0,0,0,0,1,0,0
"Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non- exclusive, royalty-free license in, to and under the Arizona Licensed Copyrights for use in the Company Field throughout the world.",0,0,0,0,1,0,0,0,0
"In addition to the retention of the Qualigen Instruments, Qualigen shall be permitted to continue selling the existing Qualigen products directly to the Qualigen Retained Customers.",0,0,0,0,0,0,0,0,0
MBE's sole remedy for correction of problems after Acceptance shall be under the Warranties set forth in Section 11.,0,0,0,1,0,0,0,0,0
(e) Discontinuation of JSC Participation.,0,0,0,0,0,0,0,0,0
LIMITATION OF REMEDIES AND LIABILITY 8.1 Telnet's Exclusive Remedies Telnet's sole and exclusive remedies concerning Galaxy's performance or non-performance in any matter related to this Agreement or the provisioning of the Services or Products are limited to those expressly stated in this Agreement.,0,0,0,1,0,0,0,0,0
"Subject to Section 2.2(c), for so long as Agreement has not been converted to a non-exclusive arrangement pursuant to Section 3.2, Integra shall pay PcoMed a Fee of ***% of Net Sales of all Partially Treated Integra Product Sold by Integra or its Affiliates.",0,0,0,0,0,0,0,0,1
"Upon the expiration or termination of this Agreement for any reason (i) all payments that have accrued prior to the termination or expiration of this Agreement will be payable in full within thirty (30) days thereof, but any obligations to make further payments due, or that may have come due, under this Agreement shall become null and void; (ii) except as otherwise provided herein, the Services Period and the Contract Period shall end immediately and Berkshire shall promptly cease all use of the Auriemma Identification including any displays, documents, artwork, symbols, logos trademarks, trade names, photographic or graphic representations, depictions and/or other materials (including, but not limited to, advertising and/or promotional materials), which in any way or form (hard copy, electronic or otherwise) use the Auriemma Identification (collectively, ""Materials""), except as otherwise set forth herein; and (iii) except as otherwise provided herein, Berkshire shall promptly remove all links and references to Auriemma and Materials from its website.",0,0,0,0,0,0,0,0,0
----------------------- --------------------------------------------- ---------------------- DENOMINATION CARD # CARD STATUS (active or inactive) ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- ----------------------- --------------------------------------------- ---------------------- Total number of ACTIVE Cards:________________________________ Total number of INACTIVE Cards:______________________________ Total number of CARDS________________________________________ Destruction Date:____________________________________________ Aggregate total denomination of Cards:_______________________ Client Authorized Signature:_________________________________ Printed Name:________________________________________________ Title:_______________________________________________________ 21 EXHIBIT 2 SCHOOLPOP CARD PRICING The following pricing is effective with the Effective date of this Agreement through the term of the Agreement and is subject to change as detailed in the Agreement.,0,0,0,0,0,0,0,0,0
"The Lima Project Company's obligation to make such payment would be subject to satisfaction of the same lender covenants which will apply to distributions to equity investors in the Lima Project; and 3 (ii) Oxbow will receive two percent (2%) of those non-O&M revenues of Global Energy's affiliate, Gasification Engineering Corporation, Inc. (""GEC"") related to the Lima Project (e.g., any of the $200 million EPC reserves/construction contingency which is not spent).",0,0,0,0,0,0,0,0,1
"D.Franchisor is willing to grant the (non-exclusive/exclusive) right to develop and open El Pollo Loco® Restaurant(s) within the Territory referenced in Exhibit ""A.""",0,0,0,0,0,0,0,0,0
"7.2 During the period beginning on the Effective Date and ending on the later of (i) the end of the Initial Term and (ii) the date falling two years after completion of the most recent services provided by Rubicon under clause 7 (the ""Non-Competition Period"") and in the Rubicon Geographic Area, as defined below, ISA agrees not to in any capacity, engage or have a financial interest in any Rubicon Competing Business, as defined below, or provide managerial, supervisory, administrative, or financial services relating to any Rubicon Competing Business, including making available any information or funding to any such Rubicon Competing Business.",0,0,0,0,0,1,0,0,0
"Describe in detail the technology and usage of encryption for protecting Confidential Information, including passwordsand authentication information, during transit and in all forms and locations where it may be stored.",0,0,0,0,0,0,0,0,0
"In consideration for the intangible rights granted hereunder, for each Year in which the Spoken-Word Audio Sub-Section (including the Mirror Company Site) generates revenue of at  of all revenues generated from the Spoken-Word Audio Sub-Section (including, for the avoidance of doubt, any revenue received by Company from any Company customer who first links to the Mirror Company Site from the Spoken-Word Audio Sub-Section and who later accesses the Company Site directly) in excess of Revenue Threshold (the ""Royalties"") for each Year of the Term.",0,0,0,0,0,0,0,0,1
"EKR Improvements shall be owned by EKR and upon termination of this Agreement by PPI pursuant to Section, shall be deemed be licensed to PPI on a worldwide, non-exclusive, irrevocable basis, at a royalty or for such other consideration as may be mutually agreed upon by the parties in writing.",0,0,0,0,1,0,0,0,0
"(ii) Paragraph 1(a) of the Agreement is amended to provide that Fox grants Licensee a worldwide, exclusive (except as otherwise may be provided in the Agreement), non-transferable right and license to distribute video clips for the property ""KINGDOM OF HEAVEN"" (""KOH Video Clips"").",0,0,0,0,1,0,0,0,0
"The Parties hereby irrevocably consent to the exclusive jurisdiction of the state or federal courts located in Harris County, Texas.",0,0,0,0,0,0,0,0,0
"Impresse agrees to purchase at least $[*] of such Banners and Newsletters in each calendar quarter after the Effective Date until a total of $[*] have been purchased, provided, the total dollar amount purchased by Impresse in any calendar quarter shall not consist of greater than 70% of either Banners or Newsletters.",0,0,0,0,0,0,0,0,1
3.3.2 Review of Minutes.,0,0,0,0,0,0,0,0,0
"Subject to the terms and conditions of this Agreement, Zogenix hereby appoints Distributor, and Distributor accepts appointment, as the exclusive distributor (even as to Zogenix) of the Product in the Field in the Territory during the Term, and grants to Distributor the exclusive rights to maintain Regulatory Approval of (while Distributor is the MAH Party), package, promote, market, offer for sale, sell, import and distribute the Product in the Field in the Territory during the Term.",0,0,0,0,1,0,0,0,0
"Subject to the terms and conditions of this Agreement, WPT grants to Zynga a non-exclusive, non-assignable, non-sublicensable, royalty-free, paid up, limited license in the Territory to use and display WPT's Licensed Property solely as necessary to perform Zynga's obligations under this Agreement and as specifically described on Exhibit A, for the Term.",0,0,0,0,1,0,0,0,0
Payment Terms.,0,0,0,0,0,0,0,0,0
Neither of the parties hereto may assign its rights or delegate any of its duties under this Agreement without the prior written consent of each other party.,0,0,0,0,0,0,1,0,0
Return of Company Materials.,0,0,0,0,0,0,0,0,0
"(d) Renewal agreement shall be effective on the ""Effective Date"" if it is signed and returned to MMMW by the ""Effective Date.""",0,0,0,0,0,0,0,0,0
Within [***] the Parties will discuss the Proposal in good faith and exercise their best efforts to agree on the appropriate adjustment if any.,0,0,0,0,0,0,0,0,0
4.,0,0,0,0,0,0,0,0,0
"10.0 Disclaimer of Consequential Damages In no event will either party be liable to the other for special, incidental, or indirect damages or for any consequential damages (including lost profits or savings), even if they are informed of the possibility; provided that this Section 10.0 does not apply to Customer's failure to pay any amounts owing to IBM under this Agreement (including amounts owing for Services that would have been rendered but for Customer's breach of this Agreement).",0,0,0,1,0,0,0,0,0
INDEPENDENT CONTRACTOR.,0,0,0,0,0,0,0,0,0
"Samples of  sent to Ceres, including a sample of ?)",0,0,0,0,0,0,0,0,0
GINARES agrees that the sole and exclusive remedy for money damages related to this Agreement and the transactions contemplated hereby shall be the rights to indemnification set forth in this Section 9.,0,0,0,1,0,0,0,0,0
"10.2 EXCEPT FOR EITHER PARTY'S VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTY'S INDEMNIFICATION OBLIGATIONS, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, INDIRECT OR PUNITIVE DAMAGES, OR LOST PROFITS, REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT, STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",0,0,0,1,0,0,0,0,0
This Agreement shall be governed by the laws of the State of California without giving effect to conflict or choice of law principles.,1,0,0,0,0,0,0,0,0
17.16 Multiple Originals.,0,0,0,0,0,0,0,0,0
"Notwithstanding anything contained in this Section to the contrary, Hydraspin may assign this Agreement upon written notice to Distributor to any entity which controls, is controlled by or under common control with Hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock, by merger or otherwise.",0,0,0,0,0,0,1,0,0
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement.",0,0,0,0,0,0,1,0,0
"(iii) Operator shall have not complied with any of its obligations under the Letter Agreement (including, if so required by the State of Delaware, posting the security referred to in the Letter Agreement upon or prior to the Commencement of Operation of the first Bloom System).",0,0,0,0,0,0,0,0,0
"If Franchisee has obtained or obtains in the future, in any country, any right, title or interest in any Franchisor Property notwithstanding the previous sentence (including any colorable imitations, translations, or transliterations thereof), Franchisee will be deemed to have so acted as an agent and for the benefit of Franchisor for the limited purpose of obtaining such registrations and assigning them to Franchisor.",0,0,0,0,0,0,0,1,0
The toll-free numbers as of the drafting of this Agreement are: Persona(R) Select 800-259-9526 Encompass(R) Select 888-210-9821 Fill It Up(R) 800-575-7365 Be My Guest(R) 877-243-5082 8 ii.,0,0,0,0,0,0,0,0,0
"During the term of the Strategic Alliance, SMBC/Nikko shall have the right to appoint one person to serve as a member of the Advisory Board of Moelis Holdings.",0,0,0,0,0,0,0,0,0
7.,0,0,0,0,0,0,0,0,0
"Governing Law and Attornment 4.8 This Agreement will be governed exclusively by and construed in accordance with the laws of the Province of British Columbia, and the parties attorn to the exclusive jurisdiction of the Courts of British Columbia.",1,0,0,0,0,0,0,0,0
Interpretation 3 2.,0,0,0,0,0,0,0,0,0
"Unless otherwise requested by the Company, or unless otherwise required by Governmental Rules, the Contractor shall retain, with respect to 9 each Note, for a period of 24 months from the date the Note is fully paid, all records, files and documents related to each such Note.",0,0,0,0,0,0,0,0,0
"54 The parties acknowledge and agree that, as between the parties, all right, title and interest in and to the trademark or service mark ""APPLY,"" as it relates to the APPLY software product, shall be and remain the sole and exclusive property of Certegy; provided, however, that Certegy shall grant to Equifax a perpetual, fully paid, world-wide, exclusive license to use the ""APPLY"" trademark or service mark solely for use in combination with the mark ""Equifax"" and solely in connection with the use of the APPLY software PRODUCT.",0,0,0,0,1,0,0,0,0
"(c) The arbitrators will have the authority to grant any equitable and legal remedies that would be available in any judicial proceeding instituted to resolve a dispute; provided, however, that the arbitrators will have no power or authority to award damages that would be inconsistent with Section 23 of this Agreement.",0,0,0,0,0,0,0,0,0
"(The remaining of this page is intentionally left blank) In witness whereof, this Agreement has been executed by the duly authorized representatives of the Parties on the date first mentioned above.",0,0,0,0,0,0,0,0,0
This Agreement shall be construed and the provisions hereof interpreted under and in accordance with the laws of the Commonwealth of Massachusetts.,1,0,0,0,0,0,0,0,0
NOTICES.,0,0,0,0,0,0,0,0,0
"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to: (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products""); (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors; (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers; (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1.",0,0,0,0,1,0,0,0,0
"30 Very truly yours, REINSURANCE GROUP OF AMERICA, INCORPORATED By:/s/ Todd C. Larson Name:Todd C. Larson Title: EVP, Corporate Finance &Treasurer RGA CAPITAL TRUST I By:/s/ Todd C. Larson Name:Todd C. Larson Title: Administrative Trustee BARCLAYS CAPITAL INC. By:/s/ Gary Antenberg Authorized Representative SCHEDULE 1 Issuer Free Writing Prospectus dated March [1], 2011 Filed pursuant to Rule 433(d) Relating to Preliminary Prospectus Supplement dated February [16], 2011 Registration Statement Nos.",0,0,0,0,0,0,0,0,0
"3.2.4 Responsibilities of the Parties FMI will work with Roche in accordance with the R&D Plan to develop the Immuno-Biomarker Discovery Platform, perform Signature Identification, and, as requested by Roche, develop Immuno Clinical Study Assays.",0,0,0,0,0,0,0,0,0
All INDs in existence as of the Effective Date related to a Product shall be solely owned and held in the name of RevMed or its Affiliate for so long as necessary for RevMed to conduct any Clinical Trial for such Product it is responsible for under the Development Plan for such Product.,0,0,0,0,0,0,0,0,0
"In the event that RemainCo wishes to order additional copies of the current edition of the Steam Book or has a desire to purchase existing stock of earlier editions of the Steam Book, SpinCo will sell such copies to RemainCo at cost, which copies RemainCo may distribute without limitation, including to RemainCo customers at no charge.",0,0,0,0,0,0,0,0,0
General Conditions 18.1 Assignment By Datec Datec must not assign this agreement or any right under this agreement unless Datec (a) is not in breach of this agreement; (b) obtains the prior written consent of the BSP (c) ensures that the assignee agrees to be bound by all of the Datec's obligations under this agreement; and (d) acknowledges that it remains bound by this agreement 18.2 Assignment By BSP BSP may: (a) assign all or part of this agreement to any person as part of a restructure; and (b) assign or novate all or part of the rights and obligations under this agreement to any of the BSP's Related Company's as part of a re- organisation of its business.,0,0,0,0,0,0,1,0,0
"(c) Any transactions relating to the Additional Agent Merchandise are, and shall be construed as, a true consignment from Agent to Merchant.",0,0,0,0,0,0,0,0,0
"This Agreement shall be governed by and construed in accordance with the laws of New York, without giving effect to the principles of conflict of laws.",1,0,0,0,0,0,0,0,0
"Intuit acknowledges it is Client's preference to have Intuit deliver such Impressions as follows: [***] --- If Intuit fails to deliver such Impressions during the twelve (12) month period following the Launch Date, Intuit agrees to run such promotions in equivalent areas and placement, as mutually agreed upon by the parties, until such Impressions have been delivered.",0,0,0,0,0,0,0,0,1
"8.3 a) IMPCO, at its sole discretion and without any legal obligation may assist the JVC with the following: i) Sales and service training ii) After sales services .",0,0,0,0,0,0,0,0,0
Serial No.,0,0,0,0,0,0,0,0,0
(a) Confidential Information.,0,0,0,0,0,0,0,0,0
"This Agreement, and your rights and obligations under it, are and shall remain personal to you.",0,0,0,0,0,0,1,0,0
This Agreement shall be governed and construed in accordance with the laws of the state of Texas without giving effect to the conflict of law rules thereof.,1,0,0,0,0,0,0,0,0
"No action, whether in contract or tort (including negligence), or otherwise arising out of or in connection with this Agreement, may be brought by Dolphin more than six months after the cause of action has occurred.",0,0,0,1,0,0,0,0,0
"Agreement shall be governed by, and construed in accordance with the laws of the State of New York without regard to the conflicts of laws principles thereof.",1,0,0,0,0,0,0,0,0
"(a), above: (1) 1st License Year (8/1/95 - 1/30/97): $ (2) 2nd License Year (2/1/97 - 1/30/98): $ (3) 3rd License Year (2/1/98 - 1/30/99): $ (4) 4th License Year (2/1/99 - 1/30/2000): $ The minimum royalty for the 1st License Year shall be paid as follows: $ upon the signing of the Deal Memo dated August 24, 1995, the balance of $ to be paid in six (6) equal, consecutive, monthly installments of $ commencing with the month in which this Agreement is signed.",0,0,0,0,0,0,0,0,1
TERM.,0,0,0,0,0,0,0,0,0
"In the event that this Agreement is terminated by Theravance pursuant to Section 14.2 for material breach by GSK: (i) GSK shall, at its sole expense, promptly transfer to Theravance copies of all data, reports, records and materials in its possession or control that relate to the Theravance Compounds and return to Theravance, or destroy at Theravance's request, all relevant records and materials in its possession or control containing Confidential Information of Theravance (provided that GSK may keep one copy of such Confidential Information of Theravance for archival purposes only in accordance with Section 10.1).",0,0,0,0,0,0,0,1,0
"(d) on an ongoing basis, manage the capacity of the environment to meet its obligations under the Service Levels and respond to BSP's operational requirements as they evolve over time; (e) monitor and report on Equipment capacity utilisation as it relates to established capacity thresholds, on a continuing basis and upon request by the BSP (f) monitor and measure the physical capacity and performance of the environment and report to the BSP when requested; (g) upgrade, remove, or add capacity to the environment as necessary to meet BSP's requirements; and (h) participate in joint capacity planning reviews with the BSP Should it be determined that extra capacity is required this cost will be meet by the BSP working with Datec.",0,0,0,0,0,0,0,0,0
These Application Management Revenue fees shall begin accruing when the Corio Customer first commences making payments to Corio for the Corio Services.,0,0,0,0,0,0,0,0,0
Neither party shall assign their respective rights under this Agreement without the prior written consent of the other party.,0,0,0,0,0,0,1,0,0
MacroGenics shall have the right to engage Third Party contractors to perform any portion of its obligations under this Agreement (provided that *** = Portions of this exhibit have been omitted pursuant to a request for confidential treatment.,0,0,0,0,0,0,0,0,0
"Provided that MSL complies fully with the terms and conditions of this Attachment 6 pursuant to the terms of the MS License to IBM (""MS License), IBM hereby authorizes MSL at Approved Locations only to Preload MS Software Images on Products and to distribute Preloaded Products as otherwise permitted in the Agreement.",0,0,0,0,0,0,0,0,0
No Commission shall be paid if the Approved Account cannot be tracked by Chase's system or if the customer accesses the Chase site through means other than the Links.,0,0,0,0,0,0,0,0,0
Compensation.,0,0,0,0,0,0,0,0,0
"TO THE MAXIMUM EXTENT PERMITTED BY LAW, THE MAXIMUM LIABILITY OF EACH PARTY TO THE OTHER OR TO ANY THIRD PARTY FOR DAMAGES, IF ANY, RELATING TO THIS AGREEMENT OR ANY MAINTENANCE UPDATE, ENHANCEMENT OR SERVICES PROVIDED OR TO BE PROVIDED HEREUNDER, WHETHER FOR BREACH OF CONTRACT OR WARRANTY, STRICT LIABILITY, NEGLIGENCE OR OTHER TORT, STRICT PRODUCT LIABILITY, THE FAILURE OF ANY LIMITED REMEDY TO ACHIEVE ITS ESSENTIAL PURPOSE, OR OTHERWISE, SHALL NOT EXCEED (I) WITH RESPECT TO ANY ENHANCEMENT PROVIDED HEREUNDER, THE AMOUNTS PAID BY CONVERGE TO VERT FOR SUCH ENHANCEMENT, AND (II) WITH RESPECT TO ANY MAINTENANCE AND SUPPORT SERVICES, THE AMOUNTS PAID BY 13 CONVERGE TO VERT FOR SUCH MAINTENANCE AND SUPPORT SERVICES DURING THE THREE MONTH PERIOD IMMEDIATELY PRECEDING THE DATE ON WHICH THE CLAIM OR CAUSE OF ACTION FOR ANY SUCH DAMAGES FIRST AROSE.",0,0,0,1,0,0,0,0,0
"Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party.",0,0,0,0,0,0,1,0,0
"The Achaogen Patents, Achaogen Know-How and the Achaogen Materials shall at all times remain the sole property of Achaogen.",0,0,0,0,0,0,0,1,0
"Notwithstanding any provision in this Agreement, M&I's total liability under this Agreement shall not exceed payments made to M&I by Customer under this Agreement during the three (3) months prior to the event.",0,0,0,1,0,0,0,0,0
